"tramite_audiencia_name","tramite_audiencia_date","tramite_audiencia_numero_processo"
"PERÍCIA","2017-03-01","0022024-37.2016.5.04.0030"
"INICIAL","2017-03-02","0022431-43.2016.5.04.0030"
"PERÍCIA","2017-04-10",""
"PERÍCIA","2017-04-13","0022137-03.2016.5.04.0511"
"PERÍCIA","2017-05-09",""
"PERÍCIA","2017-01-26",""
"PERÍCIA","2018-01-30","5011939-48.2017.4.04.7112"
"JULGAMENTO","2017-03-06","0020446-73.2015.5.04.0030"
"PERÍCIA","2017-01-31","022/1.15.0015455-3"
"INICIAL","2017-03-07",""
"JULGAMENTO","2017-02-15","5000457-44.2015.4.04.7122"
"JULGAMENTO","2018-10-04","0021794-46.2016.5.04.0401"
"JULGAMENTO","2017-02-16","001/1.14.0007138-1"
"JULGAMENTO","2017-02-16","001/1.13.0077159-4"
"JULGAMENTO","2017-02-21","5072760-25.2015.4.04.7100"
"PERÍCIA","2017-03-13",""
